periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20122;SB11201220254970;ESTUDIANTE;URBANO;N;A;TÉCNICO;185125000959;185125000959;85;85125;109165;CASANARE;MIXTO;MAÑANA;HATO COROZAL;OFICIAL;IE ANTONIO MARTINEZ DELGADO;ANTONIO MARTINEZ DELGADO;S;A-;;;GB;;;;;;;;No;Cabecera Municipal;85;;85250;;85;85125;;CASANARE;CASANARE;Ninguno;25/07/1996;F;;;;;;;;;PAZ DE ARIPORO;HATO COROZAL;;;;COLOMBIA;COLOMBIA;N;682;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Empresario;Hogar;Seis;Tierra, arena;No;Si;Si;No;No;No;No;No;No;No;No;46;42;30;38;43;;;38;46;;;5;;44;43;48;46;52;42
20122;SB11201220251992;ESTUDIANTE;RURAL;N;A;ACADÉMICO;285001001633;285001001633;85;85001;117150;CASANARE;MIXTO;MAÑANA;YOPAL;OFICIAL;IE EL TRIUNFO;EL TRIUNFO;S;A-;;;;;;;;;;;No;Area Rural;85;;85001;;85;85001;;CASANARE;CASANARE;Ninguno;28/07/1994;M;;;;;;;;;YOPAL;YOPAL;;;;COLOMBIA;COLOMBIA;N;924;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cuatro;Tierra, arena;No;Si;Si;No;No;No;No;No;No;No;No;27;42;15;40;36;;34;40;49;;;;;35;32;41;39;46;38
20122;SB11201220254822;ESTUDIANTE;URBANO;N;A;TÉCNICO;185125000029;185125000029;85;85125;38240;CASANARE;MIXTO;MAÑANA;HATO COROZAL;OFICIAL;I.E. LUIS HERNANDEZ VARGAS;I.E. LUIS HERNANDEZ VARGAS - SEDE PRINCIPAL;S;A1;;I;;;;;;;;;No;Cabecera Municipal;85;;85250;;85;85125;;CASANARE;CASANARE;Ninguno;31/03/1996;M;;;;;;;;;PAZ DE ARIPORO;HATO COROZAL;;;;COLOMBIA;COLOMBIA;N;144;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;No;No;No;No;No;49;50;40;56;45;;;50;59;;5;;;57;66;50;53;66;57
20122;SB11201220252689;ESTUDIANTE;RURAL;N;A;TÉCNICO/ACADÉMICO;185001000268;285001004357;85;85001;31120;CASANARE;MIXTO;MAÑANA;YOPAL;OFICIAL;IE BRAULIO GONZALEZ;SEDE CAMPESTRE;N;A1;;;;;;;;;;;No;Cabecera Municipal;85;;85001;;85;85001;;CASANARE;CASANARE;Ninguno;18/12/1995;F;;;;;;;;;YOPAL;YOPAL;;;;COLOMBIA;COLOMBIA;N;754;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;;Empleado obrero u operario;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;Si;No;No;No;Si;Si;32;48;49;37;43;54;;46;30;;;;;43;40;49;54;41;52
20122;SB11201220253835;ESTUDIANTE;RURAL;N;A;TÉCNICO;285010000364;285010000364;85;85010;82685;CASANARE;MIXTO;MAÑANA;AGUAZUL;OFICIAL;IE LUIS MARIA JIMENEZ;LUIS MARIA JIMENEZ;S;A-;;;;;;;;;;;No;Area Rural;85;;85010;;85;85001;;CASANARE;CASANARE;Ninguno;30/09/1995;M;;;;;;;;;AGUAZUL;YOPAL;;;;COLOMBIA;COLOMBIA;N;627;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Dos veces;Tres;;Primaria incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;;Tres;Tierra, arena;No;Si;Si;Si;No;;Si;No;No;No;No;54;50;33;45;39;52;;42;42;;;;;36;51;43;43;54;52
20122;SB11201220589408;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;185440000118;185440000118;85;85440;87437;CASANARE;MIXTO;SABATINA;VILLANUEVA;OFICIAL;IE EZEQUIEL MORENO Y DIAZ;EZEQUIEL MORENO Y DIAZ;S;A-;;;;;;;;;;;No;Cabecera Municipal;85;;85440;;85;85440;;CASANARE;CASANARE;Ninguno;08/01/1994;F;;;;;;;;;VILLANUEVA;VILLANUEVA;;;;COLOMBIA;COLOMBIA;N;589;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Siete;Cemento, gravilla, ladrillo;No;Si;Si;No;No;Si;Si;No;Si;No;No;43;50;40;43;39;54;;46;30;;;;;49;51;43;48;38;50
20122;SB11201220254329;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;185162000527;185162000527;85;85162;65508;CASANARE;MIXTO;COMPLETA;MONTERREY;OFICIAL;INST TEC DIVERSIFICADO MONTERREY;INST TECNICO DIVERSIFICADO MONTERREY;S;A-;;;;I;;;;;;;No;Cabecera Municipal;85;;85162;;85;85162;;CASANARE;CASANARE;Ninguno;21/05/1994;F;;;;;;;;;MONTERREY;MONTERREY;;;;COLOMBIA;COLOMBIA;N;278;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Empleado obrero u operario;Tres;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;Si;No;No;Si;Si;47;42;30;48;36;;;55;64;;;;5;43;47;41;52;60;52
20122;SB11201220398484;ESTUDIANTE;URBANO;N;A;TÉCNICO;185136000047;185136000047;85;85136;69229;CASANARE;MIXTO;MAÑANA;LA SALINA;OFICIAL;IE JORGE ELIECER GAITAN;JORGE ELIECER GAITAN;S;A-;;;;;;;;;;;No;Cabecera Municipal;15;;15238;;85;85136;;BOYACA;CASANARE;Ninguno;26/06/1995;M;;;;;;;;;DUITAMA;LA SALINA;;;;COLOMBIA;COLOMBIA;N;834;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Primaria incompleta;Educación profesional completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Trabajador por cuenta propia;;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;Si;No;No;Si;No;48;37;39;36;39;51;;34;42;;;;;43;50;43;34;48;45
20122;SB11201220251926;ESTUDIANTE;RURAL;;A;ACADÉMICO;285225000870;285225000870;85;85225;146456;CASANARE;MIXTO;MAÑANA;NUNCHÍA;OFICIAL;IE LAS MERCEDES;LAS MERCEDES;S;A1;;;;;;;;;;;No;Area Rural;85;;85001;;85;85225;;CASANARE;CASANARE;Ninguno;20/02/1995;F;;;;;;;;;YOPAL;NUNCHÍA;;;;COLOMBIA;COLOMBIA;N;517;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Primaria incompleta;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Pequeño empresario;Tres;Cemento, gravilla, ladrillo;No;Si;No;No;No;Si;No;No;No;No;No;39;36;42;50;47;53;;42;49;;;;;49;55;53;41;58;44
20122;SB11201220254841;ESTUDIANTE;URBANO;;A;TÉCNICO/ACADÉMICO;285250000957;285250000957;85;85250;131821;CASANARE;MIXTO;MAÑANA;PAZ DE ARIPORO;OFICIAL;IE NUESTRA SEÑORA DE MANARE;NUESTRA SEÑORA DE MANARE;S;A-;;;;;2002;2007;11 años o más;Ninguno;;2006;Si;Cabecera Municipal;85;1112;85250;17001;85;85250;;CASANARE;CASANARE;Ninguno;08/07/1993;M;UNIVERSIDAD DE CALDAS;No;No;No;No;No;Si;No;PAZ DE ARIPORO;PAZ DE ARIPORO;MANIZALES;;;COLOMBIA;COLOMBIA;N;495;;No;No;No;No;No;No;No;No;No;No;No;;Técnica;CC;29;No;No paga Pensión;Ninguna vez;Cinco;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Siete;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;Si;No;No;No;No;54;47;45;41;31;;48;45;42;;;;;47;48;38;53;48;53
