periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20122;SB11201220522684;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;186755000015;186755000015;86;86755;24471;PUTUMAYO;MIXTO;MAÑANA;SAN FRANCISCO;OFICIAL;IE ALMIRANTE PADILLA;COL ALMIRANTE PADILLA;S;A1;;;;GB;;;;;;;No;Cabecera Municipal;86;;86749;;86;86755;;PUTUMAYO;PUTUMAYO;Ninguno;15/06/1995;F;;;;;;;;;SIBUNDOY;SAN FRANCISCO;;;;COLOMBIA;COLOMBIA;N;571;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;41;38;36;53;43;;;44;49;;;;5;38;39;49;46;50;42
20122;SB11201220574686;ESTUDIANTE;URBANO;N;A;TÉCNICO;286865003677;286865003677;86;86757;79624;PUTUMAYO;MIXTO;MAÑANA;SAN MIGUEL;OFICIAL;I.E.T. COMERCIAL LA DORADA;I.E.T. COMERCIAL LA DORADA - SEDE PRINCIPAL;S;A-;;I;;;;;;;;;No;Cabecera Municipal;86;;86865;;86;86757;;PUTUMAYO;PUTUMAYO;Ninguno;15/06/1996;M;;;;;;;;;VALLE DEL GUAMUEZ;SAN MIGUEL;;;;COLOMBIA;COLOMBIA;N;639;;;;;;;;;;;;;;;CR;;No;No paga Pensión;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Hogar;Cinco;Madera burda, tabla, tablón;No;Si;No;No;No;No;Si;No;No;No;No;54;48;36;53;36;;;40;35;;6;;;54;68;41;52;52;52
20122;SB11201220258095;ESTUDIANTE;URBANO;N;A;TÉCNICO;186573000354;186573000354;86;86573;26591;PUTUMAYO;MIXTO;MAÑANA;PUERTO LEGUÍZAMO;OFICIAL;IE JOSE MARIA HERNANDEZ;COL NAL JOSE MARIA HERNANDEZ;S;A1;;;;;2000;2007;11 años o más;Dos años de preescolar;;2006;Si;Cabecera Municipal;86;1703;86573;11001;86;86573;;PUTUMAYO;PUTUMAYO;Ninguno;24/10/1996;F;UNIVERSIDAD INCCA DE COLOMBIA;Si;Si;No;No;No;Si;No;PUERTO LEGUÍZAMO;PUERTO LEGUÍZAMO;BOGOTÁ D.C.;;;COLOMBIA;COLOMBIA;N;205;;No;No;No;No;No;No;No;No;No;No;No;;Técnica;TI;27;No;No paga Pensión;Ninguna vez;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Entre 2 y menos de 3 SMLV;Nivel 1;Hogar;Otra actividad u ocupación;Tres;Madera burda, tabla, tablón;No;Si;Si;No;No;Si;No;No;No;No;No;46;52;42;46;43;;45;50;49;;;;;52;61;49;57;56;55
20122;SB11201220257967;ESTUDIANTE;URBANO;N;A;ACADÉMICO;186568000567;186568000567;86;86568;19315;PUTUMAYO;MIXTO;MAÑANA;PUERTO ASÍS;OFICIAL;IE ALVERNIA;COL ALVERNIA;S;A1;;;;;;;;;;;No;Area Rural;86;;86568;;86;86568;;PUTUMAYO;PUTUMAYO;Ninguno;19/02/1995;M;;;;;;;;;PUERTO ASÍS;PUERTO ASÍS;;;;COLOMBIA;COLOMBIA;N;111;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Una Vez;Tres;Educación profesional completa;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Empleado obrero u operario;Otra actividad u ocupación;Tres;Cemento, gravilla, ladrillo;No;Si;Si;No;No;Si;Si;No;No;No;No;52;52;50;67;47;;59;55;49;;;;;57;75;53;62;62;68
20122;SB11201220256573;ESTUDIANTE;URBANO;;A;TÉCNICO/ACADÉMICO;386001003939;386001003939;86;86001;155721;PUTUMAYO;MIXTO;NOCHE;MOCOA;NO OFICIAL;NUEVO INSTITUTO DE APRENDIZAJE SURCOLOMBIANO;NUEVO INSTITUTO DE APRENDIZAJE SURCOLOMBIANO - SEDE PRINCIPAL;S;A-;;;;;;;;;;;No;Cabecera Municipal;86;;86001;;86;86001;;PUTUMAYO;PUTUMAYO;Ninguno;09/10/1994;M;;;;;;;;;MOCOA;MOCOA;;;;COLOMBIA;COLOMBIA;N;551;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Uno;Primaria completa;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Otra actividad u ocupación;Seis;Cemento, gravilla, ladrillo;No;Si;No;Si;No;Si;Si;No;No;No;No;44;53;45;52;33;53;;41;38;;;;;48;50;39;49;40;56
20122;SB11201220258598;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;386568061015;386568061015;86;86568;82867;PUTUMAYO;MIXTO;SABATINA;PUERTO ASÍS;NO OFICIAL;COLEGIO ANTONIO NARI¥O;COLEGIO ANTONIO NARI¥O;S;A-;;;;;;;;;;;No;Cabecera Municipal;86;;86865;;86;86757;;PUTUMAYO;PUTUMAYO;Ninguno;09/07/1996;F;;;;;;;;;VALLE DEL GUAMUEZ;SAN MIGUEL;;;;COLOMBIA;COLOMBIA;N;885;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cuatro;Tierra, arena;No;Si;No;No;No;No;No;No;No;No;No;46;56;45;47;40;;48;52;6;;;;;40;48;45;62;39;62
20122;SB11201220257378;ESTUDIANTE;URBANO;N;A;TÉCNICO;186568005577;186568005577;86;86568;97592;PUTUMAYO;MIXTO;MAÑANA;PUERTO ASÍS;OFICIAL;IE SAN FRANCISCO DE ASIS;COL TEC INDUSTRIAL SAN FRANCISCO DE ASIS;S;A1;;;;GB;;;;;;;No;Cabecera Municipal;86;;86568;;86;86568;;PUTUMAYO;PUTUMAYO;Ninguno;25/12/1994;F;;;;;;;;;PUERTO ASÍS;PUERTO ASÍS;;;;COLOMBIA;COLOMBIA;N;525;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Tres;Primaria completa;Primaria incompleta;Estrato 2;Menos de 1 SMLV;Nivel 2;Hogar;Empleado obrero u operario;Seis;Cemento, gravilla, ladrillo;No;Si;Si;Si;Si;No;No;No;No;No;No;43;42;42;32;45;;;44;49;;;;4;47;51;50;44;52;48
20122;SB11201220538190;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;286001001516;286001001516;86;86571;93211;PUTUMAYO;MIXTO;MAÑANA;PUERTO GUZMÁN;OFICIAL;IE AMAZONICA;INST AMAZONICO DE PTO GUZMAN;S;A2;;;;;;;;;2012;;No;Cabecera Municipal;86;;86001;;86;86571;;PUTUMAYO;PUTUMAYO;Ninguno;24/03/1996;F;;;;;;;;;MOCOA;PUERTO GUZMÁN;;;;COLOMBIA;COLOMBIA;N;674;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Una Vez;Cinco;Primaria incompleta;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Once;Madera burda, tabla, tablón;No;Si;Si;No;No;Si;No;No;No;Si;No;39;46;42;42;55;;41;42;42;;;;;33;44;60;49;47;47
20122;SB11201220257419;ESTUDIANTE;URBANO;N;A;ACADÉMICO;286568002602;286568002602;86;86569;84996;PUTUMAYO;MIXTO;NOCHE;PUERTO CAICEDO;OFICIAL;I.E. JOSE ANTONIO GALAN;COL JOSE ANTONIO GALAN;S;A-;;;;;;;;;;;No;Cabecera Municipal;86;;86568;;86;86569;;PUTUMAYO;PUTUMAYO;Ninguno;12/01/1989;F;;;;;;;;;PUERTO ASÍS;PUERTO CAICEDO;;;;COLOMBIA;COLOMBIA;N;789;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Uno;Primaria incompleta;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Tres;Tierra, arena;No;Si;No;No;No;No;No;No;No;No;No;37;36;37;52;34;;34;42;39;;;;;40;47;40;43;49;42
20122;SB11201220258228;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;186749000577;186749000577;86;86749;;PUTUMAYO;MIXTO;MAÑANA;SIBUNDOY;OFICIAL;IE FRAY BARTOLOME DE IGUALADA;COL FRAY BARTOLOME DE IGUALADA;S;A1;;;;;;;;;;;No;Cabecera Municipal;86;;86749;;86;86749;;PUTUMAYO;PUTUMAYO;Ninguno;01/10/1994;F;;;;;;;;;SIBUNDOY;SIBUNDOY;;;;COLOMBIA;COLOMBIA;N;837;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Cuatro;Primaria completa;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Siete;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;Si;No;No;No;No;51;46;49;40;43;54;;40;24;;;;;40;45;49;43;35;44
20122;SB11201220500724;ESTUDIANTE;URBANO;N;A;ACADÉMICO;386568061008;386568061008;86;86568;104315;PUTUMAYO;MIXTO;SABATINA;PUERTO ASÍS;NO OFICIAL;INSTITUTO NUEVA COLOMBIA;INSTITUTO NUEVA COLOMBIA;S;A1;;;;;;;;;;;No;Cabecera Municipal;86;;86568;;86;86568;;PUTUMAYO;PUTUMAYO;Ninguno;17/11/1993;M;;;;;;;;;PUERTO ASÍS;PUERTO ASÍS;;;;COLOMBIA;COLOMBIA;N;424;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 2 y menos de 3 SMLV;Nivel 2;Hogar;Empleado obrero u operario;Cinco;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;No;No;No;No;No;49;50;49;33;43;52;;50;39;;;;;51;50;49;56;44;53
20122;SB11201220257643;ESTUDIANTE;URBANO;N;A;ACADÉMICO;286568002602;286568002602;86;86569;31880;PUTUMAYO;MIXTO;MAÑANA;PUERTO CAICEDO;OFICIAL;I.E. JOSE ANTONIO GALAN;COL JOSE ANTONIO GALAN;S;A-;;GB;;;;;;;;;No;Area Rural;86;;86568;;86;86569;;PUTUMAYO;PUTUMAYO;Ninguno;17/02/1995;M;;;;;;;;;PUERTO ASÍS;PUERTO CAICEDO;;;;COLOMBIA;COLOMBIA;N;692;;;;;;;;;;;;;;;TI;;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 2;Menos de 1 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Tres;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;No;No;No;No;No;42;38;42;40;30;;;38;52;;4;;;45;48;37;51;52;45
20122;SB11201220257624;ESTUDIANTE;URBANO;N;A;ACADÉMICO;286568002602;286568002602;86;86569;31880;PUTUMAYO;MIXTO;MAÑANA;PUERTO CAICEDO;OFICIAL;I.E. JOSE ANTONIO GALAN;COL JOSE ANTONIO GALAN;S;A-;;;;;;;;;;;No;Area Rural;86;;86568;;86;86569;;PUTUMAYO;PUTUMAYO;Ninguno;15/05/1995;F;;;;;;;;;PUERTO ASÍS;PUERTO CAICEDO;;;;COLOMBIA;COLOMBIA;N;973;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Cinco;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Seis;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;Si;No;No;No;No;43;44;36;48;34;;38;25;35;;;;;40;43;40;44;39;40
20122;SB11201220257086;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;186320000528;186320000528;86;86320;118588;PUTUMAYO;MIXTO;MAÑANA;ORITO;OFICIAL;IE JORGE ELIECER GAITAN;INST JORGE ELIECER GAITAN;S;A1;;;;;;;;;2012;;No;Cabecera Municipal;86;;86320;;52;52001;;PUTUMAYO;NARIÑO;Ninguno;06/04/1996;F;;;;;;;;;ORITO;PASTO;;Noviembre;;COLOMBIA;COLOMBIA;N;204;;;;;;;;;;;;;;;TI;;;;Tres veces o más;Tres;;;Estrato 1;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Hogar;;Cinco;Cemento, gravilla, ladrillo;Si;Si;Si;Si;Si;;Si;No;Si;Si;No;50;51;39;40;43;55;;56;49;;;;;57;64;49;58;55;59
