periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20162;SB11201620311071;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;218256001239;183256000021;18;18256;60475;CAQUETA;MIXTO;NOCHE;EL PAUJIL;OFICIAL;I.E AGROECOLOGICO AMAZONICO;JHON F. KENNEDY;N;2;A-;2;2;2;S;18;18247;18;18256;CAQUETA;CAQUETA;N;;08/02/1985;F;26;36.237713;EL DONCELLO;EL PAUJÍL;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Cuatro;Ninguno;Primaria incompleta;Estrato 1;11 A 25 LIBROS;Once;No;No;No;No;No;43;34;24;19;18;67;51;235;43;43;39;55
20162;SB11201620277453;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO;283753001613;283753001613;18;18753;117812;CAQUETA;MIXTO;MAÑANA;SAN VICENTE DEL CAGUAN;OFICIAL;I.E.R GUILLERMO RIOS MEJIA;GUILLERMO RIOS MEJIA;S;2;A-;2;2;2;S;41;41001;18;18753;HUILA;CAQUETA;N;;23/02/1998;F;11;29.246616;NEIVA;SAN VICENTE DEL CAGUÁN;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Tres;Ninguno;Primaria incompleta;Estrato 5;0 A 10 LIBROS;Una;No;No;No;No;No;18;21;8;25;21;31;44;215;36;45;41;44
20162;SB11201620173740;ESTUDIANTE;TI;URBANO;S;A;TÉCNICO;183029000619;183029000619;18;18029;45716;CAQUETA;MIXTO;MAÑANA;ALBANIA;OFICIAL;I.E ALBANIA;SAN CARLOS;S;1;A1;2;2;1;S;18;18610;18;18029;CAQUETA;CAQUETA;N;;11/10/1999;M;11;53.055634;SAN JOSÉ DEL FRAGUA;ALBANIA;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 1;MÁS DE 100 LIBROS;Cinco;Si;Si;No;Si;Si;8;11;53;11;12;14;38;197;52;40;36;38
20162;SB11201620364791;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183592000323;183592000323;18;18592;28597;CAQUETA;MIXTO;MAÑANA;PUERTO RICO;OFICIAL;I.E SAGRADOS CORAZONES;SAGRADOS CORAZONES;S;2;A-;2;3;2;S;18;18592;18;18592;CAQUETA;CAQUETA;N;;30/09/1999;M;11;40.330982;PUERTO RICO;PUERTO RICO;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Tres;Primaria completa;Secundaria (Bachillerato) incompleta;Estrato 1;11 A 25 LIBROS;Tres;No;No;No;No;Si;51;40;19;15;65;36;53;243;42;42;56;46
20162;SB11201620430956;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183001002217;183001002217;18;18001;45732;CAQUETA;MIXTO;MAÑANA;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA JORGE ELIECER GAITAN;JORGE ELIECER GAITAN;S;3;A1;3;3;3;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;21/05/1999;M;11;47.952374;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Tres;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Cinco;No;Si;Si;Si;No;81;84;46;81;93;73;61;305;50;61;68;58
20162;SB11201620276714;ESTUDIANTE;CC;RURAL;;A;TÉCNICO/ACADÉMICO;218610001098;218610001098;18;18610;145946;CAQUETA;MIXTO;NOCHE;SAN JOSE DEL FRAGUA;OFICIAL;I.E.R. DIVINO NIÑO;PUERTO NUEVO ZABALETA;S;2;A-;1;1;1;S;18;18610;18;18610;CAQUETA;CAQUETA;N;;11/06/1990;F;26;38.123386;SAN JOSÉ DEL FRAGUA;SAN JOSÉ DEL FRAGUA;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;No;No;16;6;4;3;4;19;43;184;34;35;30;40
20162;SB11201620537792;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO;283001000561;283001000561;18;18001;164749;CAQUETA;MIXTO;MAÑANA;FLORENCIA;OFICIAL;INSTITUCION EDUCTIVA RURAL SANTANDER;SANTANDER;S;3;A-;3;3;2;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;19/01/1999;M;11;29.627655;FLORENCIA;FLORENCIA;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Uno;Ninguno;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Una;No;No;No;No;No;82;68;27;49;90;42;62;279;44;52;66;48
20162;SB11201620358388;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;2;A1;2;2;2;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;21/02/1998;M;26;46.166767;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Cinco;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;11 A 25 LIBROS;Cinco;No;No;Si;No;Si;47;28;44;27;21;22;52;226;49;46;40;41
20162;SB11201620466653;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183001000991;183001000991;18;18001;74427;CAQUETA;MIXTO;TARDE;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL;TECNICO INDUSTRIAL;S;2;A1;3;3;2;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;23/12/2000;F;11;48.604347;FLORENCIA;FLORENCIA;COLOMBIA;3;NSE2;COLOMBIA;NO;N;0;No;Tres;Técnica o tecnológica completa;Primaria completa;Estrato 1;0 A 10 LIBROS;Cinco;No;No;Si;Si;Si;35;53;43;63;64;46;49;260;49;56;55;49
20162;SB11201620205537;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183001000923;183001000923;18;18001;32706;CAQUETA;MIXTO;TARDE;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS;SAN FRANCISCO DE ASÍS;S;2;A-;2;2;2;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;26/07/1997;M;11;44.62817;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Dos;Primaria completa;Primaria incompleta;Estrato 1;11 A 25 LIBROS;Tres;No;No;No;No;Si;37;36;40;32;35;39;50;238;48;48;46;47
